@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
423,'2021/11/13 18:47:31:610',7,387,396,347,249,251,250,?
424,'2021/11/13 18:47:31:610',7,387,396,347,242,251,250,?
425,'2021/11/13 18:47:31:610',7,387,396,349,242,251,250,?
426,'2021/11/13 18:47:31:611',7,387,397,349,242,251,250,?
427,'2021/11/13 18:47:31:611',7,388,397,349,242,251,250,?
428,'2021/11/13 18:47:31:639',7,388,397,349,242,250,250,?
429,'2021/11/13 18:47:31:641',7,388,397,349,244,250,250,?
430,'2021/11/13 18:47:31:643',7,388,397,348,244,250,250,?
431,'2021/11/13 18:47:31:644',7,388,402,348,244,250,250,?
432,'2021/11/13 18:47:31:644',7,391,402,348,244,250,250,?
433,'2021/11/13 18:47:31:685',7,391,402,348,244,250,249,?
434,'2021/11/13 18:47:31:686',7,391,402,348,244,253,249,?
435,'2021/11/13 18:47:31:686',7,391,402,348,245,253,249,?
436,'2021/11/13 18:47:31:686',7,391,398,348,245,253,249,?
437,'2021/11/13 18:47:31:686',7,386,398,348,245,253,249,?
438,'2021/11/13 18:47:31:714',7,386,398,348,245,253,250,?
439,'2021/11/13 18:47:31:715',7,386,398,348,245,259,250,?
440,'2021/11/13 18:47:31:715',7,386,398,348,238,259,250,?
441,'2021/11/13 18:47:31:715',7,386,398,349,238,259,250,?
442,'2021/11/13 18:47:31:715',7,389,398,349,238,259,250,?
443,'2021/11/13 18:47:31:745',7,389,398,349,238,259,252,?
444,'2021/11/13 18:47:31:746',7,389,398,349,238,258,252,?
445,'2021/11/13 18:47:31:746',7,389,398,349,236,258,252,?
446,'2021/11/13 18:47:31:747',7,389,398,350,236,258,252,?
447,'2021/11/13 18:47:31:747',7,389,399,350,236,258,252,?
448,'2021/11/13 18:47:31:747',7,393,399,350,236,258,252,?
449,'2021/11/13 18:47:31:789',7,393,399,350,236,258,253,?
450,'2021/11/13 18:47:31:790',7,393,399,350,236,251,253,?
451,'2021/11/13 18:47:31:790',7,393,399,350,245,251,253,?
452,'2021/11/13 18:47:31:790',7,393,398,350,245,251,253,?
453,'2021/11/13 18:47:31:790',7,388,398,350,245,251,253,?
454,'2021/11/13 18:47:31:819',7,388,398,350,245,251,251,?
455,'2021/11/13 18:47:31:820',7,388,398,350,245,247,251,?
456,'2021/11/13 18:47:31:820',7,388,398,350,248,247,251,?
457,'2021/11/13 18:47:31:820',7,388,398,351,248,247,251,?
458,'2021/11/13 18:47:31:820',7,388,393,351,248,247,251,?
459,'2021/11/13 18:47:31:820',7,389,393,351,248,247,251,?
460,'2021/11/13 18:47:31:864',7,389,393,351,248,247,252,?
461,'2021/11/13 18:47:31:866',7,389,393,351,248,253,252,?
462,'2021/11/13 18:47:31:866',7,389,393,351,236,253,252,?
463,'2021/11/13 18:47:31:866',7,389,393,354,236,253,252,?
464,'2021/11/13 18:47:31:866',7,386,393,354,236,253,252,?
465,'2021/11/13 18:47:31:894',7,386,393,354,236,253,251,?
466,'2021/11/13 18:47:31:895',7,386,393,354,236,263,251,?
467,'2021/11/13 18:47:31:895',7,386,393,354,224,263,251,?
468,'2021/11/13 18:47:31:895',7,386,393,353,224,263,251,?
469,'2021/11/13 18:47:31:895',7,386,397,353,224,263,251,?
470,'2021/11/13 18:47:31:895',7,390,397,353,224,263,251,?
471,'2021/11/13 18:47:31:924',7,390,397,353,224,263,252,?
472,'2021/11/13 18:47:31:924',7,390,397,353,224,266,252,?
473,'2021/11/13 18:47:31:924',7,390,397,353,220,266,252,?
474,'2021/11/13 18:47:31:925',7,390,397,352,220,266,252,?
475,'2021/11/13 18:47:31:925',7,389,397,352,220,266,252,?
476,'2021/11/13 18:47:31:969',7,389,397,352,220,266,254,?
477,'2021/11/13 18:47:31:970',7,389,397,352,220,269,254,?
478,'2021/11/13 18:47:31:973',7,389,397,352,217,269,254,?
479,'2021/11/13 18:47:31:973',7,389,397,353,217,269,254,?
480,'2021/11/13 18:47:31:973',7,389,396,353,217,269,254,?
481,'2021/11/13 18:47:31:973',7,386,396,353,217,269,254,?
482,'2021/11/13 18:47:31:999',7,386,396,353,217,269,255,?
483,'2021/11/13 18:47:31:999',7,386,396,353,217,272,255,?
484,'2021/11/13 18:47:32:000',7,386,396,353,219,272,255,?
485,'2021/11/13 18:47:32:000',7,386,396,355,219,272,255,?
486,'2021/11/13 18:47:32:000',7,388,396,355,219,272,255,?
487,'2021/11/13 18:47:32:029',7,388,396,355,219,268,255,?
488,'2021/11/13 18:47:32:030',7,388,396,355,224,268,255,?
489,'2021/11/13 18:47:32:030',7,388,396,357,224,268,255,?
490,'2021/11/13 18:47:32:030',7,388,395,357,224,268,255,?
491,'2021/11/13 18:47:32:030',7,392,395,357,224,268,255,?
492,'2021/11/13 18:47:32:074',7,392,395,357,224,268,257,?
493,'2021/11/13 18:47:32:075',7,392,395,357,224,257,257,?
494,'2021/11/13 18:47:32:075',7,392,395,357,235,257,257,?
495,'2021/11/13 18:47:32:075',7,392,395,360,235,257,257,?
496,'2021/11/13 18:47:32:075',7,392,396,360,235,257,257,?
497,'2021/11/13 18:47:32:075',7,393,396,360,235,257,257,?
498,'2021/11/13 18:47:32:104',7,393,396,360,235,257,256,?
499,'2021/11/13 18:47:32:105',7,393,396,360,235,246,256,?
500,'2021/11/13 18:47:32:106',7,393,396,360,247,246,256,?
501,'2021/11/13 18:47:32:106',7,393,395,360,247,246,256,?
502,'2021/11/13 18:47:32:108',7,389,395,360,247,246,256,?
503,'2021/11/13 18:47:32:134',7,389,395,360,247,246,253,?
504,'2021/11/13 18:47:32:135',7,389,395,360,247,247,253,?
505,'2021/11/13 18:47:32:135',7,389,395,360,253,247,253,?
506,'2021/11/13 18:47:32:135',7,389,388,360,253,247,253,?
507,'2021/11/13 18:47:32:135',7,386,388,360,253,247,253,?
508,'2021/11/13 18:47:32:179',7,386,388,360,253,247,255,?
509,'2021/11/13 18:47:32:180',7,386,388,360,253,252,255,?
510,'2021/11/13 18:47:32:180',7,386,388,360,248,252,255,?
511,'2021/11/13 18:47:32:180',7,386,388,368,248,252,255,?
512,'2021/11/13 18:47:32:180',7,386,385,368,248,252,255,?
513,'2021/11/13 18:47:32:180',7,387,385,368,248,252,255,?
514,'2021/11/13 18:47:32:209',7,387,385,368,248,253,255,?
515,'2021/11/13 18:47:32:216',7,387,385,368,245,253,255,?
516,'2021/11/13 18:47:32:225',7,387,385,365,245,253,255,?
517,'2021/11/13 18:47:32:226',7,387,386,365,245,253,255,?
518,'2021/11/13 18:47:32:226',7,388,386,365,245,253,255,?
519,'2021/11/13 18:47:32:254',7,388,386,365,245,253,254,?
520,'2021/11/13 18:47:32:254',7,388,386,365,245,250,254,?
521,'2021/11/13 18:47:32:254',7,388,386,365,246,250,254,?
522,'2021/11/13 18:47:32:255',7,388,385,365,246,250,254,?
523,'2021/11/13 18:47:32:284',7,388,385,365,246,250,251,?
524,'2021/11/13 18:47:32:285',7,388,385,365,246,247,251,?
525,'2021/11/13 18:47:32:285',7,388,385,365,242,247,251,?
526,'2021/11/13 18:47:32:285',7,388,385,363,242,247,251,?
527,'2021/11/13 18:47:32:285',7,388,382,363,242,247,251,?
528,'2021/11/13 18:47:32:285',7,386,382,363,242,247,251,?
529,'2021/11/13 18:47:32:314',7,386,382,363,242,249,251,?
530,'2021/11/13 18:47:32:316',7,386,382,363,238,249,251,?
531,'2021/11/13 18:47:32:317',7,386,382,358,238,249,251,?
532,'2021/11/13 18:47:32:317',7,386,390,358,238,249,251,?
533,'2021/11/13 18:47:32:317',7,391,390,358,238,249,251,?
534,'2021/11/13 18:47:32:359',7,391,390,358,238,249,252,?
535,'2021/11/13 18:47:32:360',7,391,390,358,238,252,252,?
536,'2021/11/13 18:47:32:360',7,391,390,358,245,252,252,?
537,'2021/11/13 18:47:32:360',7,391,390,355,245,252,252,?
538,'2021/11/13 18:47:32:361',7,391,394,355,245,252,252,?
539,'2021/11/13 18:47:32:361',7,389,394,355,245,252,252,?
540,'2021/11/13 18:47:32:389',7,389,394,355,245,251,252,?
541,'2021/11/13 18:47:32:390',7,389,394,355,252,251,252,?
542,'2021/11/13 18:47:32:390',7,389,394,358,252,251,252,?
543,'2021/11/13 18:47:32:390',7,389,390,358,252,251,252,?
544,'2021/11/13 18:47:32:419',7,389,390,358,252,251,251,?
545,'2021/11/13 18:47:32:420',7,389,390,358,252,254,251,?
546,'2021/11/13 18:47:32:423',7,389,390,358,253,254,251,?
547,'2021/11/13 18:47:32:423',7,389,390,364,253,254,251,?
548,'2021/11/13 18:47:32:423',7,389,384,364,253,254,251,?
549,'2021/11/13 18:47:32:423',7,384,384,364,253,254,251,?
550,'2021/11/13 18:47:32:464',7,384,384,364,253,254,252,?
551,'2021/11/13 18:47:32:465',7,384,384,364,253,258,252,?
552,'2021/11/13 18:47:32:465',7,384,384,364,251,258,252,?
553,'2021/11/13 18:47:32:465',7,384,384,370,251,258,252,?
554,'2021/11/13 18:47:32:466',7,384,387,370,251,258,252,?
555,'2021/11/13 18:47:32:466',7,386,387,370,251,258,252,?
556,'2021/11/13 18:47:32:494',7,386,387,370,251,258,253,?
557,'2021/11/13 18:47:32:495',7,386,387,370,251,259,253,?
558,'2021/11/13 18:47:32:495',7,386,387,370,253,259,253,?
559,'2021/11/13 18:47:32:495',7,386,387,368,253,259,253,?
560,'2021/11/13 18:47:32:495',7,386,384,368,253,259,253,?
561,'2021/11/13 18:47:32:495',7,387,384,368,253,259,253,?
562,'2021/11/13 18:47:32:540',7,387,384,368,253,259,251,?
563,'2021/11/13 18:47:32:541',7,387,384,368,253,256,251,?
564,'2021/11/13 18:47:32:541',7,387,384,368,251,256,251,?
565,'2021/11/13 18:47:32:541',7,387,382,368,251,256,251,?
566,'2021/11/13 18:47:32:541',7,386,382,368,251,256,251,?
567,'2021/11/13 18:47:32:569',7,386,382,368,251,256,252,?
568,'2021/11/13 18:47:32:570',7,386,382,368,251,254,252,?
569,'2021/11/13 18:47:32:570',7,386,382,368,246,254,252,?
570,'2021/11/13 18:47:32:570',7,386,382,373,246,254,252,?
