@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
195,'2021/11/10 17:51:51:062',4,400,408,160,246,248,249,0.148305,0.690899,0.807203
196,'2021/11/10 17:51:51:062',4,400,408,159,246,248,249,0.148305,0.690899,0.807203
197,'2021/11/10 17:51:51:062',4,400,407,159,246,248,249,0.148305,0.690899,0.807203
198,'2021/11/10 17:51:51:062',4,399,407,159,246,248,249,0.148305,0.690899,0.807203
199,'2021/11/10 17:51:51:091',4,399,407,159,246,250,249,0.148305,0.690899,0.807203
200,'2021/11/10 17:51:51:092',4,399,407,160,246,250,249,0.148305,0.690899,0.807203
201,'2021/11/10 17:51:51:092',4,399,406,160,246,250,249,0.148305,0.690899,0.807203
202,'2021/11/10 17:51:51:136',4,399,406,160,246,250,247,0.148305,0.690899,0.807203
203,'2021/11/10 17:51:51:137',4,399,406,160,246,251,247,0.148305,0.690899,0.807203
204,'2021/11/10 17:51:51:137',4,399,406,162,246,251,247,0.148305,0.690899,0.807203
205,'2021/11/10 17:51:51:138',4,402,406,162,246,251,247,0.148305,0.690899,0.807203
206,'2021/11/10 17:51:51:166',4,402,406,162,246,251,249,0.148305,0.690899,0.807203
207,'2021/11/10 17:51:51:167',4,402,406,162,246,250,249,0.148305,0.690899,0.807203
208,'2021/11/10 17:51:51:167',4,402,406,160,246,250,249,0.148305,0.690899,0.807203
209,'2021/11/10 17:51:51:167',4,402,409,160,246,250,249,0.148305,0.690899,0.807203
210,'2021/11/10 17:51:51:196',4,402,409,160,246,250,251,0.148305,0.690899,0.807203
211,'2021/11/10 17:51:51:196',4,402,409,160,246,248,251,0.148305,0.690899,0.807203
212,'2021/11/10 17:51:51:196',4,402,409,160,248,248,251,0.148305,0.690899,0.807203
213,'2021/11/10 17:51:51:196',4,402,409,159,248,248,251,0.148305,0.690899,0.807203
214,'2021/11/10 17:51:51:197',4,402,408,159,248,248,251,0.148305,0.690899,0.807203
215,'2021/11/10 17:51:51:197',4,397,408,159,248,248,251,0.148305,0.690899,0.807203
216,'2021/11/10 17:51:51:241',4,397,408,159,248,248,249,0.148305,0.690899,0.807203
217,'2021/11/10 17:51:51:246',4,397,408,159,248,251,249,0.148305,0.690899,0.807203
218,'2021/11/10 17:51:51:246',4,397,408,161,248,251,249,0.148305,0.690899,0.807203
219,'2021/11/10 17:51:51:246',4,397,407,161,248,251,249,0.148305,0.690899,0.807203
220,'2021/11/10 17:51:51:246',4,396,407,161,248,251,249,0.148305,0.690899,0.807203
221,'2021/11/10 17:51:51:271',4,396,407,161,248,251,251,0.148305,0.690899,0.807203
222,'2021/11/10 17:51:51:275',4,396,407,164,248,251,251,0.148305,0.690899,0.807203
223,'2021/11/10 17:51:51:275',4,396,406,164,248,251,251,0.148305,0.690899,0.807203
224,'2021/11/10 17:51:51:276',4,398,406,164,248,251,251,0.148305,0.690899,0.807203
225,'2021/11/10 17:51:51:301',4,398,406,164,248,251,250,0.148305,0.690899,0.807203
226,'2021/11/10 17:51:51:302',4,398,406,164,248,250,250,0.148305,0.690899,0.807203
227,'2021/11/10 17:51:51:302',4,398,406,164,245,250,250,0.148305,0.690899,0.807203
228,'2021/11/10 17:51:51:302',4,398,407,164,245,250,250,0.148305,0.690899,0.807203
229,'2021/11/10 17:51:51:302',4,399,407,164,245,250,250,0.148305,0.690899,0.807203
230,'2021/11/10 17:51:51:346',4,399,407,164,245,250,248,0.148305,0.690899,0.807203
231,'2021/11/10 17:51:51:347',4,399,407,164,247,250,248,0.148305,0.690899,0.807203
232,'2021/11/10 17:51:51:347',4,399,407,157,247,250,248,0.148305,0.690899,0.807203
233,'2021/11/10 17:51:51:347',4,399,411,157,247,250,248,0.148305,0.690899,0.807203
234,'2021/11/10 17:51:51:348',4,398,411,157,247,250,248,0.148305,0.690899,0.807203
235,'2021/11/10 17:51:51:376',4,398,411,157,247,250,249,0.148305,0.690899,0.807203
236,'2021/11/10 17:51:51:377',4,398,411,157,248,250,249,0.148305,0.690899,0.807203
237,'2021/11/10 17:51:51:377',4,398,411,161,248,250,249,0.148305,0.690899,0.807203
238,'2021/11/10 17:51:51:377',4,398,406,161,248,250,249,0.148305,0.690899,0.807203
239,'2021/11/10 17:51:51:377',4,400,406,161,248,250,249,0.148305,0.690899,0.807203
240,'2021/11/10 17:51:51:406',4,400,406,161,248,249,249,0.148305,0.690899,0.807203
241,'2021/11/10 17:51:51:410',4,400,406,161,247,249,249,0.148305,0.690899,0.807203
242,'2021/11/10 17:51:51:411',4,400,405,161,247,249,249,0.148305,0.690899,0.807203
243,'2021/11/10 17:51:51:451',4,400,405,161,247,249,246,0.148305,0.690899,0.807203
244,'2021/11/10 17:51:51:452',4,400,405,161,247,251,246,0.148305,0.690899,0.807203
245,'2021/11/10 17:51:51:452',4,400,405,160,247,251,246,0.148305,0.690899,0.807203
246,'2021/11/10 17:51:51:453',4,400,410,160,247,251,246,0.148305,0.690899,0.807203
247,'2021/11/10 17:51:51:453',4,401,410,160,247,251,246,0.148305,0.690899,0.807203
248,'2021/11/10 17:52:29:762',5,258,19,259,248,253,245,0.366745,0.007814,0.72693
249,'2021/11/10 17:52:29:788',5,258,19,259,247,253,245,0.366745,0.007814,0.72693
250,'2021/11/10 17:52:29:789',5,258,19,258,247,253,245,0.366745,0.007814,0.72693
251,'2021/11/10 17:52:29:789',5,258,22,258,247,253,245,0.366745,0.007814,0.72693
252,'2021/11/10 17:52:29:789',5,262,22,258,247,253,245,0.366745,0.007814,0.72693
253,'2021/11/10 17:52:29:804',5,262,22,258,247,253,248,0.366745,0.007814,0.72693
254,'2021/11/10 17:52:29:806',5,262,22,258,246,253,248,0.366745,0.007814,0.72693
255,'2021/11/10 17:52:29:806',5,262,22,260,246,253,248,0.366745,0.007814,0.72693
256,'2021/11/10 17:52:29:806',5,262,21,260,246,253,248,0.366745,0.007814,0.72693
257,'2021/11/10 17:52:29:806',5,266,21,260,246,253,248,0.366745,0.007814,0.72693
258,'2021/11/10 17:52:29:835',5,266,21,260,246,252,248,0.366745,0.007814,0.72693
259,'2021/11/10 17:52:29:835',5,266,21,260,248,252,248,0.366745,0.007814,0.72693
260,'2021/11/10 17:52:29:835',5,266,21,259,248,252,248,0.366745,0.007814,0.72693
261,'2021/11/10 17:52:29:835',5,266,22,259,248,252,248,0.366745,0.007814,0.72693
262,'2021/11/10 17:52:29:835',5,264,22,259,248,252,248,0.366745,0.007814,0.72693
